name,length,metacritic,excitement,played,genre,playing
Vagrant Story (ps1),92.0,7.0,false,rpg,
Yugi oh forbidden memories (ps1),84.0,6.0,false,card game,
Chrono Cross (ps1),94.0,6.0,false,rpg,
Crisis Core Final Fantasy VII (psp),83.0,5.0,false,rpg,
God of War chains of olypus (psp),91.0,7.0,false,action/adventure,
God of War ghost of sparta (psp),90.0,7.0,false,action/adventure,
Crash twinsanity (ps2),86.0,7.0,false,platform,
Devil May Cry 3 (ps2),90.0,6.0,false,action/adventure,
Sea of Stars (xbox) - NOT OWNED GAMEPASS,91.0,9.0,true,rpg,X
Bully (ps2),87.0,6.0,false,action/adventure,
God Hand (ps2),92.0,6.0,false,action,
Guitar Hero II (ps2),92.0,7.0,true,rythm,
Guitar Hero III (ps2),86.0,6.0,false,rythm,
Half Life (pc),96.0,8.0,false,fps,
Kingdom Hearts II (ps2),90.0,7.0,false,rpg,
Metal Gear Solid 3 (ps2),91.0,6.0,false,stealth,
Metal Gear Solid 2 (ps2),96.0,7.0,false,stealth,
Naruto Ultimate Ninja 3 (ps2),85.0,5.0,false,action,
Prince of Persia: sands of time (ps2),92.0,6.0,false,action/adventure,
Saint Seiya Hades (ps2),0.0,5.0,false,action,
Sword of Etheria (ps2),0.0,6.0,false,action/adventure,
Final Fantasy X (ps2),92.0,6.0,false,rpg,
God of War (ps2),94.0,8.0,true,action/adventure,
God of War II (ps2),93.0,7.0,false,action/adventure,
Ico (ps2),90.0,7.0,true,action/adventure,
Midnight Club 3 (ps2),91.0,5.0,true,car,
Ratchet & Clank up your arsenal (ps2),91.0,7.0,true,action/adventure,
Saint Seiya Sanctuary (ps2),73.0,5.0,true,fighting,
Resident Evil IV (ps2),96.0,7.0,false,horror/shooter,
Darkwatch (ps2),81.0,5.0,false,action/adventure,
JoJo no Kimyou na Bouken: Ougon no Kaze (ps2),0.0,5.0,false,fighting,
Sengoku Basara Heroes 2 (ps2),0.0,5.0,false,action/adventure,
Shinobido way of the ninja (ps2),71.0,5.0,false,stealth,
Yakuza 2 (ps2),87.0,5.0,false,action/adventure,
Castlevania dawn of sorrow (nds),89.0,6.0,false,metroidvania,
Zelda Spirit Tracks (nds),87.0,5.0,false,action/adventure,
Mario Smash Football (gamecube),85.0,7.0,false,sports,
Metroid Prime (gamecube),97.0,7.0,false,action/adventure,
Fire Emblem Awakening (3ds),92.0,6.0,false,rpg,
Pokemon Ultra Sun (3ds),84.0,4.0,false,rpg,
Zero Escape Virtues Last Reward (3ds),88.0,6.0,false,visual novel,
SteamWorld Heist (3ds),86.0,5.0,false,rpg,
Shantae and the Pirate's Curse (3ds),86.0,6.0,false,metroidvania,
The Binding of Isaac: Rebirth (3ds),88.0,4.0,false,roguelike,
Gunman Clive 2 (3ds),80.0,6.0,false,platform/action,
Hotline Miami (pc),87.0,9.0,true,top down shooter,X
Rayman 2: the great scape (ps2),90.0,5.0,false,platform,
Xenoblade Chronicles (wii),92.0,6.0,false,rpg,
Castlevania Bloodline (genesis),0.0,5.0,false,metroidvania,
star fox assault (gamecube),82.0,5.0,false,action/adventure,
Donkey Kong Return (3ds),83.0,5.0,false,platform,
F Zero gx (gamecube),89.0,5.0,false,car/action,
Eternal Darkness (gamecube),92.0,7.0,false,survival horror,
Legacy of Kain (ps1),91.0,6.0,false,action/adventure,
Half Life 2 (pc) ,96.0,7.0,false,fps,
Shadow of Colossus (ps2),91.0,7.0,false,action/adventure,
Jak and Daxter (ps2),90.0,6.0,false,action/adventure,
Viewtiful Joe  (ps2),93.0,5.0,false,action,
Dragon Quest VIII (ps2),89.0,4.0,false,rpg,
Time Splitters (ps2),81.0,6.0,false,fps,
Dragon Ball Z Budokai 3 (ps2),87.0,4.0,false,fighting,
Red Faction (ps2),88.0,5.0,false,fps,
Shadow of Rome (ps2),88.0,5.0,false,action,
Nobunaga's Ambition: Iron Triangle (ps2),78.0,4.0,false,turn base rpg,
Maximo: Ghosts to Glory (ps2),87.0,5.0,false,action/adventure,
The Warriors (ps2),85.0,3.0,false,action,
Psi-Ops: The Mindgate Conspiracy (ps2),84.0,4.0,false,action/adventure,
Valkyrie Profile 2: Silmeria (ps2),89.0,5.0,false,rpg,
Rygar: The Legendary Adventure (ps2),83.0,3.0,false,action,
Indigo Prophecy (ps2),84.0,4.0,false,action/adventure,
Maximo vs Army of Zin,83.0,4.0,false,action/adventure,
Odin Sphere (ps2),84.0,4.0,false,rpg,
ATV Offroad Fury 2 (ps2),82.0,6.0,false,sports,
Sakura Wars: So Long, My Love (ps2),85.0,5.0,false,rpg/visual novel,
Freekstyle (ps2),82.0,6.0,false,sports,
Dark Cloud (ps2),80.0,5.0,false,rpg,
 Guilty Gear X (ps2),79.0,7.0,false,fighting,
