name,length,metacritic,excitement,played,genre,playing
Devil May Cry 3 (ps2),12,90,6,false,action/adventure
Sea of Stars (xbox) - NOT OWNED GAMEPASS,28,91,9,true,rpg
Bully (ps2),15,87,6,false,action/adventure
God Hand (ps2),13,92,6,false,action
Guitar Hero II (ps2),9,92,7,true,rythm
Guitar Hero III (ps2),9,86,6,false,rythm
Half Life (pc),12,96,8,false,fps
Kingdom Hearts II (ps2),32,90,7,false,rpg
Metal Gear Solid 3 (ps2),16,91,6,false,stealth
Metal Gear Solid 2 (ps2),13,96,7,false,stealth
Naruto Ultimate Ninja 3 (ps2),5,85,5,false,action
Prince of Persia: sands of time (ps2),9,92,6,false,action/adventure
Saint Seiya Hades (ps2),4,0,5,false,action
Sword of Etheria (ps2),8,0,6,false,action/adventure
Final Fantasy X (ps2),46,92,6,false,rpg
God of War (ps2),9,94,8,true,action/adventure
God of War II (ps2),12,93,7,false,action/adventure
Ico (ps2),9,90,7,true,action/adventure
Midnight Club 3 (ps2),21,91,5,true,car
Ratchet & Clank up your arsenal (ps2),12,91,7,true,action/adventure
Saint Seiya Sanctuary (ps2),4,73,5,true,fighting
Resident Evil IV (ps2),16,96,7,false,horror/shooter
Darkwatch (ps2),6,81,5,false,action/adventure
JoJo no Kimyou na Bouken: Ougon no Kaze (ps2),0,0,5,false,fighting
Sengoku Basara Heroes 2 (ps2),42,0,5,false,action/adventure
Shinobido way of the ninja (ps2),12,71,5,false,stealth
Yakuza 2 (ps2),19,87,5,false,action/adventure
Castlevania dawn of sorrow (nds),10,89,6,false,metroidvania
Zelda Spirit Tracks (nds),20,87,5,false,action/adventure
Mario Smash Football (gamecube),6,85,7,false,sports
Metroid Prime (gamecube),14,97,7,false,action/adventure
Fire Emblem Awakening (3ds),31,92,6,false,rpg
Pokemon Ultra Sun (3ds),33,84,4,false,rpg
Zero Escape Virtues Last Reward (3ds),28,88,6,false,visual novel
SteamWorld Heist (3ds),13,86,5,false,rpg
Shantae and the Pirate's Curse (3ds),8,86,6,false,metroidvania
The Binding of Isaac: Rebirth (3ds),6,88,4,false,roguelike
Gunman Clive 2 (3ds),2,80,6,false,platform/action
Hotline Miami (pc),5,87,9,true,top down shooter
Rayman 2: the great scape (ps2),8,90,5,false,platform
Xenoblade Chronicles (wii),58,92,6,false,rpg
Castlevania Bloodline (genesis),3,0,5,false,metroidvania
star fox assault (gamecube),6,82,5,false,action/adventure
